Country,Region,GDP ($ per capita)
Madagascar ,SUB-SAHARAN AFRICA                 ,800
Malawi ,SUB-SAHARAN AFRICA                 ,600
Malaysia ,ASIA (EX. NEAR EAST)         ,9000
Maldives ,ASIA (EX. NEAR EAST)         ,3900
Mali ,SUB-SAHARAN AFRICA                 ,900
Malta ,WESTERN EUROPE                     ,17700
Marshall Islands ,OCEANIA                            ,1600
Martinique ,LATIN AMER. & CARIB    ,14400
Mauritania ,SUB-SAHARAN AFRICA                 ,1800
Mauritius ,SUB-SAHARAN AFRICA                 ,11400
Mayotte ,SUB-SAHARAN AFRICA                 ,2600
Mexico ,LATIN AMER. & CARIB    ,9000
"Micronesia, Fed. St. ",OCEANIA                            ,2000
Moldova ,C.W. OF IND. STATES ,1800
Monaco ,WESTERN EUROPE                     ,27000
Mongolia ,ASIA (EX. NEAR EAST)         ,1800
Montserrat ,LATIN AMER. & CARIB    ,3400
Morocco ,NORTHERN AFRICA                    ,4000
Mozambique ,SUB-SAHARAN AFRICA                 ,1200
Namibia ,SUB-SAHARAN AFRICA                 ,7200
Nauru ,OCEANIA                            ,5000
Nepal ,ASIA (EX. NEAR EAST)         ,1400
Netherlands ,WESTERN EUROPE                     ,28600
Netherlands Antilles ,LATIN AMER. & CARIB    ,11400
New Caledonia ,OCEANIA                            ,15000
New Zealand ,OCEANIA                            ,21600
Nicaragua ,LATIN AMER. & CARIB    ,2300
Niger ,SUB-SAHARAN AFRICA                 ,800
Nigeria ,SUB-SAHARAN AFRICA                 ,900
N. Mariana Islands ,OCEANIA                            ,12500
Norway ,WESTERN EUROPE                     ,37800
Oman ,NEAR EAST                          ,13100
Pakistan ,ASIA (EX. NEAR EAST)         ,2100
Palau ,OCEANIA                            ,9000
Panama ,LATIN AMER. & CARIB    ,6300
Papua New Guinea ,OCEANIA                            ,2200
Paraguay ,LATIN AMER. & CARIB    ,4700
Peru ,LATIN AMER. & CARIB    ,5100
Philippines ,ASIA (EX. NEAR EAST)         ,4600
Poland ,EASTERN EUROPE                     ,11100
Portugal ,WESTERN EUROPE                     ,18000
Puerto Rico ,LATIN AMER. & CARIB    ,16800
Qatar ,NEAR EAST                          ,21500
Reunion ,SUB-SAHARAN AFRICA                 ,5800
Romania ,EASTERN EUROPE                     ,7000
Russia ,C.W. OF IND. STATES ,8900
Rwanda ,SUB-SAHARAN AFRICA                 ,1300
Saint Helena ,SUB-SAHARAN AFRICA                 ,2500
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,8800
Saint Lucia ,LATIN AMER. & CARIB    ,5400
St Pierre & Miquelon ,NORTHERN AMERICA                   ,6900
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,2900
Samoa ,OCEANIA                            ,5600
San Marino ,WESTERN EUROPE                     ,34600
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,1200
Saudi Arabia ,NEAR EAST                          ,11800
Senegal ,SUB-SAHARAN AFRICA                 ,1600
Serbia ,EASTERN EUROPE                     ,2200
Seychelles ,SUB-SAHARAN AFRICA                 ,7800
Sierra Leone ,SUB-SAHARAN AFRICA                 ,500
Singapore ,ASIA (EX. NEAR EAST)         ,23700
Slovakia ,EASTERN EUROPE                     ,13300
Slovenia ,EASTERN EUROPE                     ,19000
Solomon Islands ,OCEANIA                            ,1700
Somalia ,SUB-SAHARAN AFRICA                 ,500
South Africa ,SUB-SAHARAN AFRICA                 ,10700
Spain ,WESTERN EUROPE                     ,22000
Sri Lanka ,ASIA (EX. NEAR EAST)         ,3700
Sudan ,SUB-SAHARAN AFRICA                 ,1900
Suriname ,LATIN AMER. & CARIB    ,4000
Swaziland ,SUB-SAHARAN AFRICA                 ,4900
Sweden ,WESTERN EUROPE                     ,26800
Switzerland ,WESTERN EUROPE                     ,32700
Syria ,NEAR EAST                          ,3300
Taiwan ,ASIA (EX. NEAR EAST)         ,23400
Tajikistan ,C.W. OF IND. STATES ,1000
Tanzania ,SUB-SAHARAN AFRICA                 ,600
Thailand ,ASIA (EX. NEAR EAST)         ,7400
Togo ,SUB-SAHARAN AFRICA                 ,1500
Tonga ,OCEANIA                            ,2200
Trinidad & Tobago ,LATIN AMER. & CARIB    ,9500
Tunisia ,NORTHERN AFRICA                    ,6900
Turkey ,NEAR EAST                          ,6700
Turkmenistan ,C.W. OF IND. STATES ,5800
Turks & Caicos Is ,LATIN AMER. & CARIB    ,9600
Tuvalu ,OCEANIA                            ,1100
Uganda ,SUB-SAHARAN AFRICA                 ,1400
Ukraine ,C.W. OF IND. STATES ,5400
United Arab Emirates ,NEAR EAST                          ,23200
United Kingdom ,WESTERN EUROPE                     ,27700
United States ,NORTHERN AMERICA                   ,37800
Uruguay ,LATIN AMER. & CARIB    ,12800
Uzbekistan ,C.W. OF IND. STATES ,1700
Vanuatu ,OCEANIA                            ,2900
Venezuela ,LATIN AMER. & CARIB    ,4800
Vietnam ,ASIA (EX. NEAR EAST)         ,2500
Virgin Islands ,LATIN AMER. & CARIB    ,17200
Wallis and Futuna ,OCEANIA                            ,3700
West Bank ,NEAR EAST                          ,800
Western Sahara ,NORTHERN AFRICA                    ,
Yemen ,NEAR EAST                          ,800
Zambia ,SUB-SAHARAN AFRICA                 ,800
Zimbabwe ,SUB-SAHARAN AFRICA                 ,1900
