Country,Region,Population,Birthrate,Deathrate
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,"37,22","16,53"
Guyana ,LATIN AMER. & CARIB    ,767245,"18,28","8,28"
Haiti ,LATIN AMER. & CARIB    ,8308504,"36,44","12,17"
Honduras ,LATIN AMER. & CARIB    ,7326496,"28,24","5,28"
Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,"7,29","6,29"
Hungary ,EASTERN EUROPE                     ,9981334,"9,72","13,11"
Iceland ,WESTERN EUROPE                     ,299388,"13,64","6,72"
India ,ASIA (EX. NEAR EAST)         ,1095351995,"22,01","8,18"
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,"20,34","6,25"
Iran ,ASIA (EX. NEAR EAST)         ,68688433,17,"5,55"
Iraq ,NEAR EAST                          ,26783383,"31,98","5,37"
Ireland ,WESTERN EUROPE                     ,4062235,"14,45","7,82"
Isle of Man ,WESTERN EUROPE                     ,75441,"11,05","11,19"
Israel ,NEAR EAST                          ,6352117,"17,97","6,18"
Italy ,WESTERN EUROPE                     ,58133509,"8,72","10,4"
Jamaica ,LATIN AMER. & CARIB    ,2758124,"20,82","6,52"
Japan ,ASIA (EX. NEAR EAST)         ,127463611,"9,37","9,16"
Jersey ,WESTERN EUROPE                     ,91084,"9,3","9,28"
Jordan ,NEAR EAST                          ,5906760,"21,25","2,65"
Kazakhstan ,C.W. OF IND. STATES ,15233244,16,"9,42"
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,"39,72","14,02"
Kiribati ,OCEANIA                            ,105432,"30,65","8,26"
"Korea, North ",ASIA (EX. NEAR EAST)         ,23113019,"15,54","7,13"
"Korea, South ",ASIA (EX. NEAR EAST)         ,48846823,10,"5,85"
Kuwait ,NEAR EAST                          ,2418393,"21,94","2,41"
Kyrgyzstan ,C.W. OF IND. STATES ,5213898,"22,8","7,08"
Laos ,ASIA (EX. NEAR EAST)         ,6368481,"35,49","11,55"
Latvia ,BALTICS                            ,2274735,"9,24","13,66"
Lebanon ,NEAR EAST                          ,3874050,"18,52","6,21"
Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,"24,75","28,71"
Liberia ,SUB-SAHARAN AFRICA                 ,3042004,"44,77","23,1"
Libya ,NORTHERN AFRICA                    ,5900754,"26,49","3,48"
Liechtenstein ,WESTERN EUROPE                     ,33987,"10,21","7,18"
Lithuania ,BALTICS                            ,3585906,"8,75","10,98"
Luxembourg ,WESTERN EUROPE                     ,474413,"11,94","8,41"
Macau ,ASIA (EX. NEAR EAST)         ,453125,"8,48","4,47"
Macedonia ,EASTERN EUROPE                     ,2050554,"12,02","8,77"
Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,"41,41","11,11"
Malawi ,SUB-SAHARAN AFRICA                 ,13013926,"43,13","19,33"
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,"22,86","5,05"
Maldives ,ASIA (EX. NEAR EAST)         ,359008,"34,81","7,06"
Mali ,SUB-SAHARAN AFRICA                 ,11716829,"49,82","16,89"
Malta ,WESTERN EUROPE                     ,400214,"10,22","8,1"
Marshall Islands ,OCEANIA                            ,60422,"33,05","4,78"
Martinique ,LATIN AMER. & CARIB    ,436131,"13,74","6,48"
Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,"40,99","12,16"
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,"15,43","6,86"
Mayotte ,SUB-SAHARAN AFRICA                 ,201234,"40,95","7,7"
Mexico ,LATIN AMER. & CARIB    ,107449525,"20,69","4,74"
"Micronesia, Fed. St. ",OCEANIA                            ,108004,"24,68","4,75"
Moldova ,C.W. OF IND. STATES ,4466706,"15,7","12,64"
Monaco ,WESTERN EUROPE                     ,32543,"9,19","12,91"
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,"21,59","6,95"
Montserrat ,LATIN AMER. & CARIB    ,9439,"17,59","7,1"
Morocco ,NORTHERN AFRICA                    ,33241259,"21,98","5,58"
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,"35,18","21,35"
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,"24,32","18,86"
Nauru ,OCEANIA                            ,13287,"24,76","6,7"
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,"30,98","9,31"
Netherlands ,WESTERN EUROPE                     ,16491461,"10,9","8,68"
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,"14,78","6,45"
New Caledonia ,OCEANIA                            ,219246,"18,11","5,69"
New Zealand ,OCEANIA                            ,4076140,"13,76","7,53"
Nicaragua ,LATIN AMER. & CARIB    ,5570129,"24,51","4,45"
Niger ,SUB-SAHARAN AFRICA                 ,12525094,"50,73","20,91"
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,"40,43","16,94"
N. Mariana Islands ,OCEANIA                            ,82459,"19,43","2,29"
Norway ,WESTERN EUROPE                     ,4610820,"11,46","9,4"
Oman ,NEAR EAST                          ,3102229,"36,24","3,81"
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,"29,74","8,23"
Palau ,OCEANIA                            ,20579,"18,03","6,8"
Panama ,LATIN AMER. & CARIB    ,3191319,"21,74","5,36"
Papua New Guinea ,OCEANIA                            ,5670544,"29,36","7,25"
Paraguay ,LATIN AMER. & CARIB    ,6506464,"29,1","4,49"
Peru ,LATIN AMER. & CARIB    ,28302603,"20,48","6,23"
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,"24,89","5,41"
Poland ,EASTERN EUROPE                     ,38536869,"9,85","9,89"
Portugal ,WESTERN EUROPE                     ,10605870,"10,72","10,5"
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,"12,77","7,65"
Qatar ,NEAR EAST                          ,885359,"15,56","4,72"
Reunion ,SUB-SAHARAN AFRICA                 ,787584,"18,9","5,49"
Romania ,EASTERN EUROPE                     ,22303552,"10,7","11,77"
Russia ,C.W. OF IND. STATES ,142893540,"9,95","14,65"
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,"40,37","16,09"
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,"12,13","6,53"
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,"18,02","8,33"
Saint Lucia ,LATIN AMER. & CARIB    ,168458,"19,68","5,08"
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,"13,52","6,83"
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,"16,18","5,98"
Samoa ,OCEANIA                            ,176908,"16,43","6,62"
San Marino ,WESTERN EUROPE                     ,29251,"10,02","8,17"
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,"40,25","6,47"
Saudi Arabia ,NEAR EAST                          ,27019731,"29,34","2,58"
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,"32,78","9,42"
Serbia ,EASTERN EUROPE                     ,9396411,,
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,"16,03","6,29"
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,"45,76","23,03"
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,"9,34","4,28"
Slovakia ,EASTERN EUROPE                     ,5439448,"10,65","9,45"
Slovenia ,EASTERN EUROPE                     ,2010347,"8,98","10,31"
Solomon Islands ,OCEANIA                            ,552438,"30,01","3,92"
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,"45,13","16,63"
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,"18,2",22
Spain ,WESTERN EUROPE                     ,40397842,"10,06","9,72"
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,"15,51","6,52"
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,"34,53","8,97"
Suriname ,LATIN AMER. & CARIB    ,439117,"18,02","7,27"
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,"27,41","29,74"
Sweden ,WESTERN EUROPE                     ,9016596,"10,27","10,31"
Switzerland ,WESTERN EUROPE                     ,7523934,"9,71","8,49"
Syria ,NEAR EAST                          ,18881361,"27,76","4,81"
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,"12,56","6,48"
Tajikistan ,C.W. OF IND. STATES ,7320815,"32,65","8,25"
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,"37,71","16,39"
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,"13,87","7,04"
Togo ,SUB-SAHARAN AFRICA                 ,5548702,"37,01","9,83"
Tonga ,OCEANIA                            ,114689,"25,37","5,28"
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,"12,9","10,57"
Tunisia ,NORTHERN AFRICA                    ,10175014,"15,52","5,13"
Turkey ,NEAR EAST                          ,70413958,"16,62","5,97"
Turkmenistan ,C.W. OF IND. STATES ,5042920,"27,61","8,6"
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,"21,84","4,21"
Tuvalu ,OCEANIA                            ,11810,"22,18","7,11"
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,"47,35","12,24"
Ukraine ,C.W. OF IND. STATES ,46710816,"8,82","14,39"
United Arab Emirates ,NEAR EAST                          ,2602713,"18,96","4,4"
United Kingdom ,WESTERN EUROPE                     ,60609153,"10,71","10,13"
United States ,NORTHERN AMERICA                   ,298444215,"14,14","8,26"
Uruguay ,LATIN AMER. & CARIB    ,3431932,"13,91","9,05"
Uzbekistan ,C.W. OF IND. STATES ,27307134,"26,36","7,84"
Vanuatu ,OCEANIA                            ,208869,"22,72","7,82"
Venezuela ,LATIN AMER. & CARIB    ,25730435,"18,71","4,92"
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,"16,86","6,22"
Virgin Islands ,LATIN AMER. & CARIB    ,108605,"13,96","6,43"
Wallis and Futuna ,OCEANIA                            ,16025,,
West Bank ,NEAR EAST                          ,2460492,"31,67","3,92"
Western Sahara ,NORTHERN AFRICA                    ,273008,,
Yemen ,NEAR EAST                          ,21456188,"42,89","8,3"
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,41,"19,93"
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,"28,01","21,84"
